comuna,latitud,longitud,region,cantidad_toneladas
Lanco,-39.45181324,-72.78416552,Los Ríos,121075.011
Valdivia,-39.816452,-73.24253353,Los Ríos,29711.473869999998
Los Lagos,-39.97743717,-72.51354095,Los Ríos,4822.688
Paillaco,-40.07761171,-72.8627984,Los Ríos,817.903
Futrono,-40.12454289,-72.3808556,Los Ríos,892.53
Panguipulli,-39.64363465,-72.33649418,Los Ríos,2839.548
Mariquina,-39.5367933,-72.8428058,Los Ríos,47715.30584
Río Bueno,-40.33134523,-72.94853761,Los Ríos,2406.29489
Primavera,-52.77201703,-69.28920925,Magallanes y de la Antártica Chilena,1206.03
Torres del Paine,-51.23338613,-72.97921254,Magallanes y de la Antártica Chilena,398.0
Cabo de Hornos (Ex-Navarino),-54.54021464,-71.54412539,Magallanes y de la Antártica Chilena,241.945
Porvenir,-53.29065587,-70.38887225,Magallanes y de la Antártica Chilena,13434.202299999999
Punta Arenas,-53.163075,-70.9033806,Magallanes y de la Antártica Chilena,47818.9299993
San Gregorio,-52.39774522,-69.75749617,Magallanes y de la Antártica Chilena,1111.37
Natales,-51.7585303,-72.8936236,Magallanes y de la Antártica Chilena,27564.83257
Río Verde,-52.66541353,-72.1771698,Magallanes y de la Antártica Chilena,2191.0476
Colbún,-35.85783352,-71.06391721,Maule,65.84195
Yerbas Buenas,-35.60735526,-71.58941369,Maule,33285.740000000005
San Clemente,-35.80304933,-70.82989349,Maule,5472.612
San Rafael,-35.27947148,-71.54355299,Maule,548.176
Licantén,-34.98792967,-72.02029776,Maule,11710.405
Villa Alegre,-35.70812607,-71.71170106,Maule,1149.702
Linares,-35.8446962,-71.6087218,Maule,46895.053
Hualañé,-34.97473135,-71.81215187,Maule,4.265
Sagrada Familia,-35.05312271,-71.32550585,Maule,30541.75885
Longaví,-35.94029652,-71.67941693,Maule,367.015
Empedrado,-35.57702841,-72.40448018,Maule,36.687
Pencahue,-35.44640718,-71.81093049,Maule,4835.034
Cauquenes,-35.96059031,-72.34045066,Maule,868.415
Pelluhue,-35.84365788,-72.63969362,Maule,12.721
Pelarco,-35.33382921,-71.39019759,Maule,1445.587
Río Claro,-35.2260949,-71.4171615,Maule,749.66
Parral,-36.12497168,-71.80443884,Maule,1652.3290000000002
Rauco,-34.93545617,-71.32807851,Maule,58.916000000000004
Romeral,-34.97714069,-71.20699327,Maule,2054.232
Maule,-35.44137686,-71.64062096,Maule,11742.3415
Curicó,-34.9838424,-71.2410553,Maule,16377.925317
San Javier,-35.61289063,-71.73291807,Maule,8343.72301
Chanco,-35.73993067,-72.54004995,Maule,4.337
Retiro,-36.08557537,-71.78912534,Maule,1599.189
Molina,-35.13145458,-71.35893961,Maule,62211.15129
Talca,-35.4349312,-71.63777813,Maule,46402.1061849
Constitución,-35.33329815,-72.41670118,Maule,43847.653
Teno,-34.85616571,-71.10322398,Maule,90856.4571
Curepto,-35.08769577,-72.0309036,Maule,8.530000000000001
María Pinto,-33.51705212,-71.12381036,Metropolitana de Santiago,290.808
Quinta Normal,-33.43657855,-70.71648531,Metropolitana de Santiago,8220.12632
Recoleta,-33.41394541,-70.64237836,Metropolitana de Santiago,8260.627274
Renca,-33.41191626,-70.7821744,Metropolitana de Santiago,112172.29346319
San Bernardo,-33.5931429,-70.7056384,Metropolitana de Santiago,304690.419141195
San Joaquín,-33.48543395,-70.62728174,Metropolitana de Santiago,14226.22775
San José de Maipo,-33.50789274,-70.20030639,Metropolitana de Santiago,12444.9555
San Pedro,-33.88564294,-71.39856103,Metropolitana de Santiago,64201.373
San Ramón,-33.54570794,-70.63372044,Metropolitana de Santiago,1455.58357
Santiago,-33.44001254,-70.64817256,Metropolitana de Santiago,147098.192938491
Talagante,-33.66132418,-70.92522627,Metropolitana de Santiago,41241.993251
Tiltil,-33.1513545,-70.90409225,Metropolitana de Santiago,102296.643163
Vitacura,-33.40019493,-70.59168224,Metropolitana de Santiago,23171.56216064
Quilicura,-33.37387582,-70.71969142,Metropolitana de Santiago,286789.961849624
San Miguel,-33.4825381,-70.6455892,Metropolitana de Santiago,17632.289539100002
Ñuñoa,-33.46410463,-70.59826181,Metropolitana de Santiago,73825.473386
Pudahuel,-33.42664892,-70.79300446,Metropolitana de Santiago,96138.930392928
Lo Espejo,-33.53610296,-70.69349953,Metropolitana de Santiago,1104.25817
Lo Barnechea,-33.33207274,-70.51129328,Metropolitana de Santiago,31279.6760172
Las Condes,-33.3908833,-70.5462013,Metropolitana de Santiago,118654.72866319
Lampa,-33.284917,-70.74703,Metropolitana de Santiago,97890.20968100001
La Reina,-33.45003776,-70.55271177,Metropolitana de Santiago,8211.967335351
La Pintana,-33.60863713,-70.6573783,Metropolitana de Santiago,18785.41475
La Granja,-33.550359,-70.61810461,Metropolitana de Santiago,9904.69095
Puente Alto,-33.6104377,-70.5738562,Metropolitana de Santiago,194336.834882613
La Cisterna,-33.5197398,-70.6592514,Metropolitana de Santiago,37417.77219
Isla de Maipo,-33.74231583,-70.86250881,Metropolitana de Santiago,13777.23685
Independencia,-33.42520936,-70.65458227,Metropolitana de Santiago,22403.388277
Huechuraba,-33.36622373,-70.67852809,Metropolitana de Santiago,85485.432977631
Estación Central,-33.45219714,-70.68034433,Metropolitana de Santiago,63349.802027955
El Monte,-33.68915647,-71.04718944,Metropolitana de Santiago,62325.338289
El Bosque,-33.5539758,-70.67501011,Metropolitana de Santiago,12162.8968
Curacaví,-33.41263545,-71.05675028,Metropolitana de Santiago,15010.650253114
Conchalí,-33.38793653,-70.69006115,Metropolitana de Santiago,30651.632279999998
Colina,-33.09390287,-70.7096112,Metropolitana de Santiago,173933.59594399997
Cerro Navia,-33.42912669,-70.72708309,Metropolitana de Santiago,6489.54599
Cerrillos,-33.48234897,-70.6932919,Metropolitana de Santiago,45552.1870492
Calera de Tango,-33.61212384,-70.81989012,Metropolitana de Santiago,2044.11797
Buin,-33.73474579,-70.73084161,Metropolitana de Santiago,69627.992017
Alhué,-34.09258705,-71.18903008,Metropolitana de Santiago,4677.822
Lo Prado,-33.45715007,-70.70594901,Metropolitana de Santiago,4014.4044400000002
Macul,-33.48413405,-70.60455972,Metropolitana de Santiago,76684.8302612
La Florida,-33.51047727,-70.60727437,Metropolitana de Santiago,42806.33246464
Peñalolén,-33.48216102,-70.5583843,Metropolitana de Santiago,34583.991869
Padre Hurtado,-33.5727482,-70.8286021,Metropolitana de Santiago,21918.102488
Maipú,-33.48135452,-70.75184865,Metropolitana de Santiago,102853.070516136
Pedro Aguirre Cerda,-33.49111742,-70.66722246,Metropolitana de Santiago,37096.44739
Pirque,-33.73200051,-70.53766475,Metropolitana de Santiago,2234.004
Providencia,-33.4440771,-70.6322005,Metropolitana de Santiago,105502.205229748
Paine,-33.86422029,-70.83677808,Metropolitana de Santiago,21679.34903
Melipilla,-33.68486869,-71.21369993,Metropolitana de Santiago,41288.35672
Peñaflor,-33.60200527,-70.84730831,Metropolitana de Santiago,16090.855115
Iquique,-20.29499481,-70.1277879,Tarapacá,28440.963939
Pozo Almonte,-20.05762649,-69.2573269,Tarapacá,12412.635
Alto Hospicio,-20.24893721,-70.09737505,Tarapacá,4506.210747
Pica,-20.98876896,-68.65651325,Tarapacá,43809.853
Huara,-19.87941853,-69.86443756,Tarapacá,37.141
Quilpué,-33.04454216,-71.41806106,Valparaíso,34222.942868
Quillota,-32.89211263,-71.26273607,Valparaíso,12027.498545
Santo Domingo,-33.89107243,-71.63321155,Valparaíso,7851.525
Concón,-32.9792269,-71.48848096,Valparaíso,44901.884280000006
Casablanca,-33.46917586,-71.39702855,Valparaíso,44105.3888
Cartagena,-33.57188433,-71.5150485,Valparaíso,453.27729999999997
Valparaíso,-33.04860942,-71.60382299,Valparaíso,25270.13853
Calle Larga,-32.85825172,-70.6395388,Valparaíso,484.97999999999996
Calera,-32.79074483,-71.19177185,Valparaíso,29244.84027
Cabildo,-32.41656523,-71.07067454,Valparaíso,505.16200000000003
Villa Alemana,-33.05880996,-71.39596432,Valparaíso,5854.60897
Viña del Mar,-33.02592447,-71.54747555,Valparaíso,44115.043985000004
Puchuncaví,-32.75556034,-71.47886576,Valparaíso,106928.06180000001
Zapallar,-32.63431367,-71.42348765,Valparaíso,197.724
Catemu,-32.79958061,-70.95446046,Valparaíso,2966.8940000000002
Santa María,-32.73877273,-70.65862147,Valparaíso,3474.6920000000005
Algarrobo,-33.36162317,-71.66902625,Valparaíso,653.3301
El Tabo,-33.51762303,-71.60520303,Valparaíso,269.017
