comuna,latitud,longitud,region,cantidad_toneladas
Estación Central,"-33,45219714","-70,68034433",Metropolitana de Santiago,63349.802027955
Florida,"-36,7890582","-72,63881382",Biobío,383.524
Freire,"-38,95444835","-72,61668839",Araucanía,2239.827
Freirina,"-28,50915726","-70,91935617",Atacama,148.628919
Fresia,"-41,14020827","-73,40543654",Los Lagos,118.89
Frutillar,"-41,11666961","-73,04999757",Los Lagos,556.0565
Futaleufú,"-43,19213687","-71,86998706",Los Lagos,240.895
Futrono,"-40,12454289","-72,3808556",Los Ríos,892.53
Galvarino,"-38,4161469","-72,7823935",Araucanía,71.2
Gorbea,"-39,11192154","-72,62119708",Araucanía,155.95
Graneros,"-34,07640198","-70,73050901",Libertador Gral. Bernardo O'Higgins,52033.796324
Guaitecas,"-43,88332964","-73,75000172",Aysén del Gral. Carlos Ibañez del Campo,1660.94446
Hijuelas,"-32,79799772","-71,14372019",Valparaíso,1884.464
Hualaihué,"-41,73768015","-72,69516345",Los Lagos,6459.75955
Hualañé,"-34,97473135","-71,81215187",Maule,4.265
Hualpén,"-36,80107943","-73,07187611",Biobío,31421.46929
Hualqui,"-36,97092337","-72,92903129",Biobío,341.48668
Huara,"-19,87941853","-69,86443756",Tarapacá,37.141
Huasco,"-28,46860974","-71,25437653",Atacama,273047.07450000005
Huechuraba,"-33,36622373","-70,67852809",Metropolitana de Santiago,85485.432977631
Illapel,"-31,781342","-70,9680122",Coquimbo,645.3480000000001
Independencia,"-33,42520936","-70,65458227",Metropolitana de Santiago,22403.388277
Iquique,"-20,29499481","-70,1277879",Tarapacá,28440.963939
Isla de Maipo,"-33,74231583","-70,86250881",Metropolitana de Santiago,13777.23685
La Cisterna,"-33,5197398","-70,6592514",Metropolitana de Santiago,37417.77219
La Cruz,"-32,84544368","-71,18045515",Valparaíso,243.279
La Estrella,"-34,24477187","-71,58474914",Libertador Gral. Bernardo O'Higgins,57641.696
La Florida,"-33,51047727","-70,60727437",Metropolitana de Santiago,42806.33246464
La Granja,"-33,550359","-70,61810461",Metropolitana de Santiago,9904.69095
La Higuera,"-29,46891932","-70,99683843",Coquimbo,115.969
La Ligua,"-32,45014325","-71,23561077",Valparaíso,11981.7859
La Pintana,"-33,60863713","-70,6573783",Metropolitana de Santiago,18785.41475
La Reina,"-33,45003776","-70,55271177",Metropolitana de Santiago,8211.967335351
La Serena,"-29,9054771","-71,2629223",Coquimbo,18220.41646
La Unión,"-40,29527859","-73,0793243",Los Ríos,29782.217
Lago Ranco,"-40,38231329","-72,50261869",Los Ríos,1191.872
Laja,"-37,28572825","-72,71244478",Biobío,99634.925
Lampa,"-33,284917","-70,74703",Metropolitana de Santiago,97890.20968100001
Lanco,"-39,45181324","-72,78416552",Los Ríos,121075.011
Las Cabras,"-34,09596053","-71,32197614",Libertador Gral. Bernardo O'Higgins,15521.04131
Las Condes,"-33,3908833","-70,5462013",Metropolitana de Santiago,118654.72866319
Lautaro,"-38,5242333","-72,4369176",Araucanía,6132.14494
Lebu,"-37,60277423","-73,65246711",Biobío,283.687
Licantén,"-34,98792967","-72,02029776",Maule,11710.405
Limache,"-32,989622","-71,26558589",Valparaíso,3540.82731
Linares,"-35,8446962","-71,6087218",Maule,46895.053
Litueche,"-34,00632684","-71,52659704",Libertador Gral. Bernardo O'Higgins,112.985
Llaillay,"-32,85028848","-70,95175746",Valparaíso,1220.22243
Llanquihue,"-41,22971449","-73,16811121",Los Lagos,15247.5961
Lo Barnechea,"-33,33207274","-70,51129328",Metropolitana de Santiago,31279.6760172
Lo Espejo,"-33,53610296","-70,69349953",Metropolitana de Santiago,1104.25817
Lo Prado,"-33,45715007","-70,70594901",Metropolitana de Santiago,4014.4044400000002
Lolol,"-34,80064936","-71,68524023",Libertador Gral. Bernardo O'Higgins,1656.446
Loncoche,"-39,35535658","-72,63801305",Araucanía,1323.575
Longaví,"-35,94029652","-71,67941693",Maule,367.015
Lonquimay,"-38,46376257","-71,35551509",Araucanía,39.2
Los Alamos,"-37,6273531","-73,4132314",Biobío,408.409
Los Andes,"-32,83616157","-70,60424077",Valparaíso,20888.567345
Los Angeles,"-37,4203394","-72,3385869",Biobío,25333.7714
Los Lagos,"-39,97743717","-72,51354095",Los Ríos,4822.688
Los Muermos,"-41,3692783","-73,51959214",Los Lagos,128.55
Los Sauces,"-37,96635124","-72,82654433",Araucanía,11.5
Los Vilos,"-31,90965763","-71,51678907",Coquimbo,1466.8165
Lota,"-37,08127102","-73,16337819",Biobío,1235.98209
Machalí,"-34,1827525","-70,6484967",Libertador Gral. Bernardo O'Higgins,23956.03069
Macul,"-33,48413405","-70,60455972",Metropolitana de Santiago,76684.8302612
Maipú,"-33,48135452","-70,75184865",Metropolitana de Santiago,102853.070516136
Malloa,"-34,46295391","-70,92415695",Libertador Gral. Bernardo O'Higgins,1143.654
Marchihue,"-34,34418401","-71,65161755",Libertador Gral. Bernardo O'Higgins,178.01999999999998
Mariquina,"-39,5367933","-72,8428058",Los Ríos,47715.30584
María Elena,"-22,35344346","-69,592528",Antofagasta,5958.9648099999995
María Pinto,"-33,51705212","-71,12381036",Metropolitana de Santiago,290.808
Maule,"-35,44137686","-71,64062096",Maule,11742.3415
Maullín,"-41,56129749","-73,5116297",Los Lagos,270.541
Mejillones,"-23,09922444","-70,44974202",Antofagasta,508965.8007
Melipeuco,"-38,84751136","-71,79249661",Araucanía,1990.703583
Melipilla,"-33,68486869","-71,21369993",Metropolitana de Santiago,41288.35672
Molina,"-35,13145458","-71,35893961",Maule,62211.15129
Monte Patria,"-30,69882214","-70,95329143",Coquimbo,1508.97
Mostazal,"-33,96344414","-70,7087996",Libertador Gral. Bernardo O'Higgins,78353.97032
Mulchén,"-37,70345538","-72,2594054",Biobío,4831.067
Máfil,"-39,6961991","-72,87324",Los Ríos,512.45
Nacimiento,"-37,51797507","-72,65824828",Biobío,182081.368
Nancagua,"-34,67670392","-71,20550407",Libertador Gral. Bernardo O'Higgins,5387.335000000001
Natales,"-51,7585303","-72,8936236",Magallanes y de la Antártica Chilena,27564.83257
Negrete,"-37,5581858","-72,59256124",Biobío,222.643
Ninhue,"-36,39913789","-72,39123945",Ñuble,8.674
Nogales,"-32,72256606","-71,21348643",Valparaíso,4856.113
Nueva Imperial,"-38,76856137","-72,85791618",Araucanía,1415.847
Olivar,"-34,20552706","-70,7636599",Libertador Gral. Bernardo O'Higgins,6995.724999999999
Olmué,"-32,99813496","-71,18927866",Valparaíso,227.37213
Osorno,"-40,57450715","-73,13191689",Los Lagos,76960.81345
Ovalle,"-30,59789679","-71,18391428",Coquimbo,28528.23425
Padre Hurtado,"-33,5727482","-70,8286021",Metropolitana de Santiago,21918.102488
Padre Las Casas,"-38,76217111","-72,60450463",Araucanía,1911.5533
Paiguano,"-30,1227768","-70,49244004",Coquimbo,94.61
Paillaco,"-40,07761171","-72,8627984",Los Ríos,817.903
Paine,"-33,86422029","-70,83677808",Metropolitana de Santiago,21679.34903
Palmilla,"-34,56499721","-71,38814552",Libertador Gral. Bernardo O'Higgins,15078.142
Panguipulli,"-39,64363465","-72,33649418",Los Ríos,2839.548
Panquehue,"-32,74007148","-70,76392596",Valparaíso,1902.41
Parral,"-36,12497168","-71,80443884",Maule,1652.3290000000002
Pedro Aguirre Cerda,"-33,49111742","-70,66722246",Metropolitana de Santiago,37096.44739
Pelarco,"-35,33382921","-71,39019759",Maule,1445.587
Pelluhue,"-35,84365788","-72,63969362",Maule,12.721
Pemuco,"-36,91337606","-72,34325999",Ñuble,7557.3369999999995
Pencahue,"-35,44640718","-71,81093049",Maule,4835.034
Penco,"-36,73199145","-72,99120038",Biobío,2636.906
Peralillo,"-34,4285832","-71,50008532",Libertador Gral. Bernardo O'Higgins,2238.239
Perquenco,"-38,41611198","-72,37561951",Araucanía,240.25
Peumo,"-34,36363396","-71,19638373",Libertador Gral. Bernardo O'Higgins,1516.61829
Peñaflor,"-33,60200527","-70,84730831",Metropolitana de Santiago,16090.855115
Peñalolén,"-33,48216102","-70,5583843",Metropolitana de Santiago,34583.991869
Pica,"-20,98876896","-68,65651325",Tarapacá,43809.853
Pichidegua,"-34,4129932","-71,3034483",Libertador Gral. Bernardo O'Higgins,12471.264
Pichilemu,"-34,38821496","-71,98065909",Libertador Gral. Bernardo O'Higgins,716.345
Pinto,"-36,90304031","-71,40869702",Ñuble,27.095
Pirque,"-33,73200051","-70,53766475",Metropolitana de Santiago,2234.004
Pitrufquén,"-38,9879896","-72,6352832",Araucanía,2505.46
Placilla,"-34,63568776","-71,1188238",Libertador Gral. Bernardo O'Higgins,5024.977
Porvenir,"-53,29065587","-70,38887225",Magallanes y de la Antártica Chilena,13434.202299999999
Pozo Almonte,"-20,05762649","-69,2573269",Tarapacá,12412.635
Primavera,"-52,77201703","-69,28920925",Magallanes y de la Antártica Chilena,1206.03
Providencia,"-33,4440771","-70,6322005",Metropolitana de Santiago,105502.205229748
Puchuncaví,"-32,75556034","-71,47886576",Valparaíso,106928.06180000001
Pucón,"-39,27225549","-71,97762564",Araucanía,2542.62125
Pudahuel,"-33,42664892","-70,79300446",Metropolitana de Santiago,96138.930392928
Puente Alto,"-33,6104377","-70,5738562",Metropolitana de Santiago,194336.834882613
Puerto Montt,"-41,45940167","-72,97460525",Los Lagos,225983.58617667
Puerto Octay,"-40,9727514","-72,58846261",Los Lagos,2426.3307999999997
Puerto Varas,"-41,3234135","-73,0038659",Los Lagos,19331.529106
Punitaqui,"-30,9872229","-71,28055661",Coquimbo,147.79
Punta Arenas,"-53,163075","-70,9033806",Magallanes y de la Antártica Chilena,47818.9299993
Puqueldón,"-42,57493881","-73,615049",Los Lagos,2079.8286200000002
Purranque,"-40,82846982","-73,17984244",Los Lagos,1419.0245
Putre,"-18,83694069","-69,0427804",Arica y Parinacota,31.679100000000002
Puyehue,"-40,7065613","-72,3917192",Los Lagos,3036.767
Queilén,"-42,74997471","-73,58228493",Los Lagos,2875.6998599999997
Quellón,"-43,03330141","-73,55000185",Los Lagos,110285.222091
Quemchi,"-42,14910436","-73,48311991",Los Lagos,23722.89179
Quilaco,"-37,71302013","-71,82799944",Biobío,12.754999999999999
Quilicura,"-33,37387582","-70,71969142",Metropolitana de Santiago,286789.961849624
Quilleco,"-37,35987961","-71,86401646",Biobío,104.98949999999999
Quillota,"-32,89211263","-71,26273607",Valparaíso,12027.498545
Quillón,"-36,73385684","-72,47178783",Ñuble,227.90800000000002
Quilpué,"-33,04454216","-71,41806106",Valparaíso,34222.942868
Quinchao,"-42,54603705","-73,37553854",Los Lagos,6002.43257
Quinta Normal,"-33,43657855","-70,71648531",Metropolitana de Santiago,8220.12632
Quinta de Tilcoco,"-34,37538668","-70,98034707",Libertador Gral. Bernardo O'Higgins,31407.563000000002
Quintero,"-32,91396244","-71,49705375",Valparaíso,5080.043816
Quirihue,"-36,21726042","-72,52976253",Ñuble,16.426000000000002
Rancagua,"-34,15888565","-70,72735328",Libertador Gral. Bernardo O'Higgins,107169.20393
Rauco,"-34,93545617","-71,32807851",Maule,58.916000000000004
Recoleta,"-33,41394541","-70,64237836",Metropolitana de Santiago,8260.627274
Renaico,"-37,66914691","-72,58556347",Araucanía,1126.8651
Renca,"-33,41191626","-70,7821744",Metropolitana de Santiago,112172.29346319
Rengo,"-34,38970587","-70,85569476",Libertador Gral. Bernardo O'Higgins,91203.45568
Requínoa,"-34,29198832","-70,80923462",Libertador Gral. Bernardo O'Higgins,33841.65113
Retiro,"-36,08557537","-71,78912534",Maule,1599.189
Rinconada,"-32,92614836","-70,68082881",Valparaíso,397.98699999999997
Romeral,"-34,97714069","-71,20699327",Maule,2054.232
Ránquil,"-36,66382881","-72,48360144",Ñuble,154379.763
Río Bueno,"-40,33134523","-72,94853761",Los Ríos,2406.29489
Río Claro,"-35,2260949","-71,4171615",Maule,749.66
Río Hurtado,"-30,33990951","-70,75809048",Coquimbo,108.232
Río Negro,"-40,73566823","-73,14969015",Los Lagos,474.649
Río Verde,"-52,66541353","-72,1771698",Magallanes y de la Antártica Chilena,2191.0476
Sagrada Familia,"-35,05312271","-71,32550585",Maule,30541.75885
Salamanca,"-31,77442905","-70,98830153",Coquimbo,16645.575
San Antonio,"-33,5816834","-71,6136029",Valparaíso,8761.771378
San Bernardo,"-33,5931429","-70,7056384",Metropolitana de Santiago,304690.419141195
San Carlos,"-36,43590142","-71,94768783",Ñuble,5401.219
San Clemente,"-35,80304933","-70,82989349",Maule,5472.612
San Esteban,"-32,7967678","-70,5562522",Valparaíso,1344.8517
San Felipe,"-32,79962448","-70,69996117",Valparaíso,10887.66979
San Fernando,"-34,58654565","-70,98517473",Libertador Gral. Bernardo O'Higgins,35057.30782
San Gregorio,"-52,39774522","-69,75749617",Magallanes y de la Antártica Chilena,1111.37
San Ignacio,"-36,88709545","-72,11712571",Ñuble,23.335
San Javier,"-35,61289063","-71,73291807",Maule,8343.72301
San Joaquín,"-33,48543395","-70,62728174",Metropolitana de Santiago,14226.22775
San José de Maipo,"-33,50789274","-70,20030639",Metropolitana de Santiago,12444.9555
San Juan de la Costa,"-40,28837074","-73,52926596",Los Lagos,369.48400000000004
San Miguel,"-33,4825381","-70,6455892",Metropolitana de Santiago,17632.289539100002
San Pablo,"-40,48441688","-73,0358346",Los Lagos,1239.873
San Pedro,"-33,88564294","-71,39856103",Metropolitana de Santiago,64201.373
San Pedro Atacama,"-22,917842","-68,20535957",Antofagasta,3080.671
San Pedro de la Paz,"-36,88195543","-73,14030502",Biobío,86721.34162
San Rafael,"-35,27947148","-71,54355299",Maule,548.176
San Ramón,"-33,54570794","-70,63372044",Metropolitana de Santiago,1455.58357
San Vicente,"-34,45850999","-71,11398763",Libertador Gral. Bernardo O'Higgins,106805.7186
Santa Bárbara,"-37,71212522","-71,81618146",Biobío,656.1893500000001
Santa Cruz,"-34,63231915","-71,3860388",Libertador Gral. Bernardo O'Higgins,3221.80596
Santa Juana,"-37,18358468","-72,9449809",Biobío,7.442
Santa María,"-32,73877273","-70,65862147",Valparaíso,3474.6920000000005
Santiago,"-33,44001254","-70,64817256",Metropolitana de Santiago,147098.192938491
Santo Domingo,"-33,89107243","-71,63321155",Valparaíso,7851.525
Sierra Gorda,"-22,9815965","-69,71890676",Antofagasta,39481.39627
Talagante,"-33,66132418","-70,92522627",Metropolitana de Santiago,41241.993251
Talca,"-35,4349312","-71,63777813",Maule,46402.1061849
Talcahuano,"-36,78096007","-73,0578207",Biobío,387500.96384
Taltal,"-25,40366862","-70,47501719",Antofagasta,9643.099
Temuco,"-38,71703063","-72,56569217",Araucanía,52046.488470000004
Teno,"-34,85616571","-71,10322398",Maule,90856.4571
Tierra Amarilla,"-27,8146489","-69,26254324",Atacama,18160.403
Tiltil,"-33,1513545","-70,90409225",Metropolitana de Santiago,102296.643163
Tocopilla,"-22,0928061","-70,2008246",Antofagasta,95787.50850000001
Tomé,"-36,72946496","-72,86376234",Biobío,23374.1453
Torres del Paine,"-51,23338613","-72,97921254",Magallanes y de la Antártica Chilena,398.0
Traiguén,"-38,26128898","-72,68582876",Araucanía,229.649
Tucapel,"-37,28853472","-71,79264697",Biobío,355.301
Valdivia,"-39,816452","-73,24253353",Los Ríos,29711.473869999998
Vallenar,"-28,98254497","-70,89343134",Atacama,2101.493
Valparaíso,"-33,04860942","-71,60382299",Valparaíso,25270.13853
Victoria,"-38,2281414","-72,3328874",Araucanía,3196.9139999999998
Vicuña,"-35,67514497","-71,54296465",Coquimbo,2299.426
Vilcún,"-38,65488057","-72,47777071",Araucanía,33493.902
Villa Alegre,"-35,70812607","-71,71170106",Maule,1149.702
Villa Alemana,"-33,05880996","-71,39596432",Valparaíso,5854.60897
Villarrica,"-39,2812093","-72,2282496",Araucanía,10766.2201
Vitacura,"-33,40019493","-70,59168224",Metropolitana de Santiago,23171.56216064
Viña del Mar,"-33,02592447","-71,54747555",Valparaíso,44115.043985000004
Yerbas Buenas,"-35,60735526","-71,58941369",Maule,33285.740000000005
Yumbel,"-37,1625","-72,5311111",Biobío,202.405
Yungay,"-37,12201892","-72,01315931",Ñuble,2713.967
Zapallar,"-32,63431367","-71,42348765",Valparaíso,197.724
Ñiquén,"-36,22979133","-72,01346712",Ñuble,11789.59
Ñuñoa,"-33,46410463","-70,59826181",Metropolitana de Santiago,73825.473386
