Código región;Región;Código provincia;Provincia;Código comuna;COMUNA;Población censada;Hombres;Mujeres;Razón hombre-mujer;% personas de 65 años o más
10;Los Lagos;101;Llanquihue;10104;Fresia;12.320;6.102;6.218;98,1;17,8%
10;Los Lagos;101;Llanquihue;10105;Frutillar;22.554;11.034;11.520;95,8;13,8%
10;Los Lagos;101;Llanquihue;10106;Los Muermos;17.162;8.620;8.542;100,9;18,0%
10;Los Lagos;101;Llanquihue;10107;Llanquihue;18.088;8.826;9.262;95,3;14,9%
10;Los Lagos;101;Llanquihue;10108;Maullín;15.063;7.651;7.412;103,2;18,8%
10;Los Lagos;101;Llanquihue;10109;Puerto Varas;52.942;25.814;27.128;95,2;11,9%
10;Los Lagos;102;Chiloé;10201;Castro;46.997;22.832;24.165;94,5;12,5%
10;Los Lagos;102;Chiloé;10202;Ancud;40.949;19.981;20.968;95,3;16,2%
10;Los Lagos;102;Chiloé;10203;Chonchi;16.078;7.896;8.182;96,5;13,5%
10;Los Lagos;102;Chiloé;10204;Curaco de Vélez;3.662;1.774;1.888;94,0;18,2%
10;Los Lagos;102;Chiloé;10205;Dalcahue;14.894;7.403;7.491;98,8;13,0%
10;Los Lagos;102;Chiloé;10206;Puqueldón;4.048;2.021;2.027;99,7;18,3%
10;Los Lagos;102;Chiloé;10207;Queilén;5.690;2.859;2.831;101,0;15,7%
10;Los Lagos;102;Chiloé;10208;Quellón;28.460;14.339;14.121;101,5;9,3%
10;Los Lagos;102;Chiloé;10209;Quemchi;8.409;4.239;4.170;101,7;18,2%
10;Los Lagos;102;Chiloé;10210;Quinchao;7.678;3.727;3.951;94,3;18,2%
10;Los Lagos;103;Osorno;10301;Osorno;166.455;79.484;86.971;91,4;14,5%
10;Los Lagos;103;Osorno;10302;Puerto Octay;8.865;4.517;4.348;103,9;16,7%
10;Los Lagos;103;Osorno;10303;Purranque;19.542;9.515;10.027;94,9;18,0%
10;Los Lagos;103;Osorno;10304;Puyehue;11.712;5.782;5.930;97,5;16,7%
10;Los Lagos;103;Osorno;10305;Río Negro;13.874;6.840;7.034;97,2;18,6%
10;Los Lagos;103;Osorno;10306;San Juan de la Costa;7.776;4.042;3.734;108,2;21,7%
10;Los Lagos;103;Osorno;10307;San Pablo;10.883;5.357;5.526;96,9;18,9%
10;Los Lagos;104;Palena;10401;Chaitén;4.025;2.085;1.940;107,5;15,5%
10;Los Lagos;104;Palena;10402;Futaleufú;3.062;1.542;1.520;101,4;13,4%
10;Los Lagos;104;Palena;10403;Hualaihué;9.480;4.910;4.570;107,4;13,7%
10;Los Lagos;104;Palena;10404;Palena;1.903;946;957;98,9;18,9%
11;Aysén del General Carlos Ibáñez del Campo;111;Coyhaique;11101;Coyhaique;57.823;28.170;29.653;95,0;12,4%
11;Aysén del General Carlos Ibáñez del Campo;111;Coyhaique;11102;Lago Verde;779;427;352;121,3;20,4%
11;Aysén del General Carlos Ibáñez del Campo;112;Aysén;11201;Aysén;23.170;11.522;11.648;98,9;11,9%
11;Aysén del General Carlos Ibáñez del Campo;112;Aysén;11202;Cisnes;5.137;2.598;2.539;102,3;11,8%
11;Aysén del General Carlos Ibáñez del Campo;112;Aysén;11203;Guaitecas;1.598;857;741;115,7;10,0%
11;Aysén del General Carlos Ibáñez del Campo;113;Capitán Prat;11301;Cochrane;3.458;1.779;1.679;106,0;12,8%
11;Aysén del General Carlos Ibáñez del Campo;113;Capitán Prat;11302;O'Higgins;647;331;316;104,7;8,5%
11;Aysén del General Carlos Ibáñez del Campo;113;Capitán Prat;11303;Tortel;505;269;236;114,0;6,5%
